Unnamed: 0,순번,년도,실적번호,논문제목,학술지명,게재일자,인원,등록자,실무,본부,논문,평가의견,논문파일명,장려금상태,학술트랙 결과보고서 상태
,1,2025,BA25003113,국제 사례 비교를 통한 한국형 위성영상  기반 작황 모니터링 시스템 설계 방안,농촌계획,2025-01-01,4,김태곤,미결,미결,Y,게재일자 11월로 표기됨(KCI),202511_KSBEC_다중출처 데이터와 작물모형을 활용한 지역 단위 작황 현황.pdf (1561.66KB),,
,2,2025,BA25003112,다중출처 데이터와 작물모형을 활용한 지역 단위 작황 현황  자동 보고 서비스 개발,생물환경조절학회지,2025-01-01,4,김태곤,미결,미결,Y,게재일자 10월로 표기(KCI),202511_KSBEC_다중출처 데이터와 작물모형을 활용한 지역 단위 작황 현황.pdf (1561.66KB),,
,3,2025,BA25003111,국산 밀 품종의 APSIM 생물계절 매개변수 최적화 및 생육 단계 모의,한국농공학회논문집,2025-01-01,3,김태곤,미결,미결,Y,게재일자 11월로 표기(KCI),농공학회_석승원_국산 밀 품종의 APSIM 생물계절 매개변수 최적화 및 생육 단계 모의.pdf (3100.8KB),,
,4,2025,BA25002131,Implementing dynamic distance-time  conversion factors through real-time traffic  data for enhancing urban mobility and service  accessibility in South Korea,PLoS One,2025-09-04,3,김태곤,인정,인정,Y,,journal.pone.0330266.pdf (1559.43KB),승인,
,5,2025,BA25002130,Post-harvest treatment of wild-simulated ginseng  under climate-smart environmental conditions,PLoS One,2025-06-18,4,김태곤,인정,인정,Y,,journal.pone.0326237.pdf (331.33KB),승인,
,6,2025,BA25000537,Reliability Analysis of a Single-span Agricultural Greenhouse Considering the Uncertainty of the Foundation Joint Conditions,Horticultural Science & Technology,2025-10-31,4,김태곤,인정,인정,Y,,N020250050.pdf (1677.57KB),승인,
,7,2025,BA25000536,Physics-Informed Neural Networks for Predicting Internal Forces and Deformations of Structural Frames in a Single-Span Agricultural Greenhouse,Horticultural Science & Technology,2025-08-31,3,김태곤,인정,인정,Y,,19. 20250424_HST_Physics-Informed Neural Networks for Predicting Internal Forces and Deformations of Structural Frames in a Single-Span Agricultural Greenhouse.pdf (2284.75KB),,
,8,2025,BA25000527,Optimal Prioritization Model for School Closure Decisions Considering Educational Accessibility in Shrinking Regions,Sustainability,2025-04-30,3,김태곤,인정,인정,Y,,sustainability-17-04057.pdf (2709.15KB),,
,9,2025,BA25000526,Multivariate Drought Characteristics and Joint Probability Analysis Under Climate Change: A Comparative Index-Based Study in Korea,HYDROLOGICAL PROCESSES,2025-05-04,4,김태곤,인정,인정,Y,,2025_Sayed_HP.pdf (4184.6KB),승인,
,10,2025,BA25000525,Structural Safety Changes and Reinforcement Effect of Raising the Height of Korean Plastic Greenhouses,Horticultural Science & Technology,2025-04-30,3,김태곤,인정,인정,Y,,Structural Safety Changes and Reinforcement Effect of Raising the Height of Korean Plastic Greenhouses.pdf (1777.09KB),,
,11,2025,BA25000524,국토위성영상을 이용한 YOLO-Seg 기반의 농경지 추출 모델 개발,한국농공학회논문집,2025-03-31,5,김태곤,인정,인정,Y,,국토위성영상을 이용한 YOLO-Seg 기반의 농경지 추출 모델 개발.pdf (6614.73KB),,승인
,12,2025,BA25000522,뉴스 빅데이터 기반 자연재해 전조 감지 분석,한국농공학회논문집,2025-03-31,8,김태곤,인정,인정,Y,,뉴스 빅데이터 기반 자연재해 전조 감지 분석.pdf (1879.59KB),,
,13,2024,BA24002801,과정기반 작물모형을 이용한 웹 기반 밀 재배관리 의사결정 지원시스템 설계 및 구축,한국농공학회논문집,2024-07-31,5,김태곤,인정,인정,Y,,과정기반 작물모형을 이용한 웹 기반 밀 재배관리 의사결정 지원시스템 설계 및 구축.pdf (703.46KB),,
,14,2023,BA23003389,"농산물 재배 방식에 따른 사회, 경제, 환경 영향 비교 - 농산물 소득조사 자료와 스마트팜 실태조사 보고서를 기반으로 -",농촌계획,2023-11-30,2,김태곤,미결,미결,Y,,농산물 재배 방식에 따른 사회_경제_환경 영향 비교 - 농산물 소득조사 자료와 스마트팜 실태조사 보고서를 기반으로 -.pdf (487.17KB),,
,15,2023,BA23002582,Energy and environmental performance of a passenger drone for an urban air mobility (UAM) policy with 3D spatial information in Seoul ,Journal of Cleaner Production,2023-08-20,4,김태곤,인정,인정,Y,,1-s2.0-S0959652623018413-main.pdf (7569.23KB),완료,
,16,2023,BA23002475,A scalable framework for quantifying field-level agricultural carbon outcomes,EARTH-SCIENCE REVIEWS,2023-08-01,27,김태곤,인정,인정,Y,,1-s2.0-S0012825223001514-main.pdf (17452.51KB),완료,
,17,2023,BA23001678,상세 공간단위 농업분야 온실가스 배출량 산정 방안 연구,한국농공학회논문집,2023-09-30,6,김태곤,인정,인정,Y,,상세 공간단위 농업분야 온실가스 배출량 산정 방안 연구.pdf (2396.86KB),,승인
,18,2022,BA22003209,농업환경 공간정보 국가 격자체계 적용 방안:  자동 변환 툴 개발 및 표준화 전략 마련,한국지도학회지,2022-12-31,5,김태곤,인정,인정,Y,,kca-2022-022-03-6.pdf (1306.83KB),,
,19,2022,BA22003206,Distinct driving mechanisms of non-growing season N2O emissions call for spatial-specific mitigation strategies in the US Midwest,AGRICULTURAL AND FOREST METEOROLOGY,2022-09-15,12,김태곤,인정,인정,Y,,1-s2.0-S0168192322002957-main.pdf (11763.08KB),완료,
,20,2022,BA22003201,Review: An integrated framework for understanding ecological drought and drought resistance,SCIENCE OF THE TOTAL ENVIRONMENT,2022-11-10,4,김태곤,인정,인정,Y,,1-s2.0-S0048969722045752-main.pdf (1988.29KB),완료,
,21,2022,BA22003197,The critical benefits of snowpack insulation and snowmelt for winter wheat productivity,Nature Climate Change,2022-04-07,11,김태곤,인정,인정,Y,,s41558-022-01327-3.pdf (20850.28KB),완료,
,22,2022,BA22003193,High-Resolution Environmentally Extended Input–Output Model to Assess the Greenhouse Gas Impact of Electronics in South Korea,ENVIRONMENTAL SCIENCE & TECHNOLOGY,2022-01-28,5,김태곤,인정,인정,Y,,acs.est.1c05451.pdf (1143.37KB),완료,
,23,2022,BA22002290,KGML-ag: a modeling framework of knowledge-guided machine learning to simulate agroecosystems: a case study of estimating N2O emission using data from mesocosm experiments,Geoscientific Model Development,2022-04-07,16,김태곤,인정,인정,Y,,gmd-15-2839-2022.pdf (3899.23KB),완료,
,24,2021,BA21003100,가뭄사상 및 농업수리시설물이 쌀 생산량에 미치는 영향에 대한 상관 분석 ,한국농공학회논문집,2021-09-30,7,김태곤,인정,인정,Y,,On the Linkage Between Irrigation Facilities and Rice Production Under Drought Events.pdf (3269.52KB),,
,25,2021,BA21003099,Land use leverage points to reduce GHG emissions in U.S. agricultural supply chains,Environmental Research Letters,2021-11-14,8,김태곤,인정,인정,Y,,Pelton_2021_Environ._Res._Lett._16_115002.pdf (2067.65KB),완료,
